"Front","Back"
"che loro GUARDARE","(che loro) guardino"
"(perfetto) che io GUARDARE","(che io) abbia guardato"
"(perfetto) che loro GUARDARE","(che loro) abbiano guardato"
"se (presente) io GUARDARE","se (io) guarderei"
"se (presente) loro GUARDARE","se (loro) guarderebbero"
"se (passato) lui GUARDARE","se (lui) avrebbe guardato"
"(...ndo) ...  GUARDARE","(... ) guardando"
"(passato ...ndo) GUARDARE","(avendo) guardato"
"(aggetivo) ...  GUARDARE","(... ) guardante"
"(per favore) ...  GUARDARE","(... ) guarda"
"(adesso) io IMPARARE","(io) imparo"
"(adesso) tu IMPARARE","(tu) impari"
"(adesso) lei IMPARARE","(lei) impara"
"(adesso) noi IMPARARE","(noi) impariamo"
"(adesso) voi IMPARARE","(voi) imparate"
"(adesso) loro IMPARARE","(loro) imparano"
"(ieri) io IMPARARE","(io) imparavo"
"(molto tempo fa) io IMPARARE","(io) imparai"
"(molto tempo fa) voi IMPARARE","(voi) imparaste"
"(domani) voi IMPARARE","(voi) imparerete"
"(perfetto) tu IMPARARE","(tu) hai imparato"
"(perchè ieri) noi IMPARARE","(noi) avevamo imparato"
"che io IMPARARE","(che io) impari"
"che loro IMPARARE","(che loro) imparino"
"(perfetto) che io IMPARARE","(che io) abbia imparato"
"(perfetto) che lei IMPARARE","(che lei) abbia imparato"
"se (presente) io IMPARARE","se (io) imparerei"
"se (presente) tu IMPARARE","se (tu) impareresti"
"se (passato) noi IMPARARE","se (noi) avremmo imparato"
"(...ndo) ...  IMPARARE","(... ) imparando"
"(passato ...ndo) IMPARARE","(avendo) imparato"
"(aggetivo) ...  IMPARARE","(... ) imparante"
"(per favore) ...  IMPARARE","(... ) impara"
"(adesso) io INCONTRARE","(io) incontro"
"(adesso) tu INCONTRARE","(tu) incontri"
"(adesso) lui INCONTRARE","(lui) incontra"
"(adesso) noi INCONTRARE","(noi) incontriamo"
"(adesso) voi INCONTRARE","(voi) incontrate"
"(adesso) loro INCONTRARE","(loro) incontrano"
"(ieri) io INCONTRARE","(io) incontravo"
"(molto tempo fa) io INCONTRARE","(io) incontrai"
"(molto tempo fa) lei INCONTRARE","(lei) incontrò"
"(domani) io INCONTRARE","(io) incontrerò"
"(perfetto) loro INCONTRARE","(loro) hanno incontrato"
"(perchè ieri) noi INCONTRARE","(noi) avevamo incontrato"
"che io INCONTRARE","(che io) incontri"
"che loro INCONTRARE","(che loro) incontrino"
"(perfetto) che io INCONTRARE","(che io) abbia incontrato"
"(perfetto) che lei INCONTRARE","(che lei) abbia incontrato"
"se (presente) io INCONTRARE","se (io) incontrerei"
"se (presente) voi INCONTRARE","se (voi) incontrereste"
"se (passato) noi INCONTRARE","se (noi) avremmo incontrato"
"(...ndo) ...  INCONTRARE","(... ) incontrando"
"(passato ...ndo) INCONTRARE","(avendo) incontrato"
"(aggetivo) ...  INCONTRARE","(... ) incontrante"
"(per favore) ...  INCONTRARE","(... ) incontra"
"(adesso) io INNAMORARSI","(io) mi innamoro"
"(adesso) tu INNAMORARSI","(tu) ti innamori"
"(adesso) lei INNAMORARSI","(lei) si innamora"
"(adesso) noi INNAMORARSI","(noi) ci innamoriamo"
"(adesso) voi INNAMORARSI","(voi) vi innamorate"
"(adesso) loro INNAMORARSI","(loro) si innamorano"
"(ieri) io INNAMORARSI","(io) mi innamoravo"
"(molto tempo fa) io INNAMORARSI","(io) mi innamorai"
"(molto tempo fa) noi INNAMORARSI","(noi) ci innamorammo"
"(domani) noi INNAMORARSI","(noi) ci innamoreremo"
"(perfetto) noi INNAMORARSI","(noi) ci siamo innamorati"
"(perchè ieri) lei INNAMORARSI","(lei) si era innamorata"
"che io INNAMORARSI","(che io) mi innamori"
"che loro INNAMORARSI","(che loro) si innamorino"
"(perfetto) che io INNAMORARSI","(che io) mi sia innamorato"
"(perfetto) che voi INNAMORARSI","(che voi) vi siate innamorati"
"se (presente) io INNAMORARSI","se (io) mi innamorerei"
"se (presente) loro INNAMORARSI","se (loro) si innamorerebbero"
"se (passato) voi INNAMORARSI","se (voi) vi sareste innamorati"
"(...ndo) ...  INNAMORARSI","(... ) innamorandosi"
"(passato ...ndo) INNAMORARSI","(essendosi) innamorato"
"(aggetivo) ...  INNAMORARSI","(... ) innamorantesi"
"(per favore) ...  INNAMORARSI","(... ) innamorati"
"(adesso) io LASCIARE","(io) lascio"
"(adesso) tu LASCIARE","(tu) lasci"
"(adesso) lei LASCIARE","(lei) lascia"
"(adesso) noi LASCIARE","(noi) lasciamo"
"(adesso) voi LASCIARE","(voi) lasciate"
"(adesso) loro LASCIARE","(loro) lasciano"
"(ieri) voi LASCIARE","(voi) lasciavate"
"(molto tempo fa) io LASCIARE","(io) lasciai"
"(molto tempo fa) loro LASCIARE","(loro) lasciarono"
"(domani) io LASCIARE","(io) lascerò"
"(perfetto) io LASCIARE","(io) ho lasciato"
"(perchè ieri) tu LASCIARE","(tu) avevi lasciato"
"che io LASCIARE","(che io) lasci"
"che noi LASCIARE","(che noi) lasciamo"
"(perfetto) che io LASCIARE","(che io) abbia lasciato"
"(perfetto) che tu LASCIARE","(che tu) abbia lasciato"
"se (presente) io LASCIARE","se (io) lascerei"
"se (presente) loro LASCIARE","se (loro) lascerebbero"
"se (passato) lei LASCIARE","se (lei) avrebbe lasciato"
"(...ndo) ...  LASCIARE","(... ) lasciando"
"(passato ...ndo) LASCIARE","(avendo) lasciato"
"(aggetivo) ...  LASCIARE","(... ) lasciante"
"(per favore) ...  LASCIARE","(... ) lascia"
"(adesso) io LAVARSI","(io) mi lavo"
"(adesso) tu LAVARSI","(tu) ti lavi"
"(adesso) lui LAVARSI","(lui) si lava"
"(adesso) noi LAVARSI","(noi) ci laviamo"
"(adesso) voi LAVARSI","(voi) vi lavate"
"(adesso) loro LAVARSI","(loro) si lavano"
"(ieri) io LAVARSI","(io) mi lavavo"
"(molto tempo fa) io LAVARSI","(io) mi lavai"
"(molto tempo fa) loro LAVARSI","(loro) si lavarono"
"(domani) loro LAVARSI","(loro) si laveranno"
"(perfetto) voi LAVARSI","(voi) vi siete lavati"
"(perchè ieri) lui LAVARSI","(lui) si era lavato"
"che io LAVARSI","(che io) mi lavi"
"che voi LAVARSI","(che voi) vi laviate"
"(perfetto) che io LAVARSI","(che io) mi sia lavato"
"(perfetto) che voi LAVARSI","(che voi) vi siate lavati"
"se (presente) io LAVARSI","se (io) mi laverei"
"se (presente) noi LAVARSI","se (noi) ci laveremmo"
"se (passato) loro LAVARSI","se (loro) si sarebbero lavate"
"(...ndo) ...  LAVARSI","(... ) lavandosi"
"(passato ...ndo) LAVARSI","(essendosi) lavato"
"(aggetivo) ...  LAVARSI","(... ) lavantesi"
"(per favore) ...  LAVARSI","(... ) lavati"
"(adesso) io LAVORARE","(io) lavoro"
"(adesso) tu LAVORARE","(tu) lavori"
"(adesso) lei LAVORARE","(lei) lavora"
"(adesso) noi LAVORARE","(noi) lavoriamo"
"(adesso) voi LAVORARE","(voi) lavorate"
"(adesso) loro LAVORARE","(loro) lavorano"
"(ieri) io LAVORARE","(io) lavoravo"
"(molto tempo fa) io LAVORARE","(io) lavorai"
"(molto tempo fa) voi LAVORARE","(voi) lavoraste"
"(domani) lei LAVORARE","(lei) lavorerà"
"(perfetto) loro LAVORARE","(loro) hanno lavorato"
"(perchè ieri) lei LAVORARE","(lei) aveva lavorato"
"che io LAVORARE","(che io) lavori"
"che loro LAVORARE","(che loro) lavorino"
"(perfetto) che io LAVORARE","(che io) abbia lavorato"
"(perfetto) che noi LAVORARE","(che noi) abbiamo lavorato"
"se (presente) io LAVORARE","se (io) lavorerei"
"se (presente) tu LAVORARE","se (tu) lavoreresti"
"se (passato) tu LAVORARE","se (tu) avresti lavorato"
"(...ndo) ...  LAVORARE","(... ) lavorando"
"(passato ...ndo) LAVORARE","(avendo) lavorato"
"(aggetivo) ...  LAVORARE","(... ) lavorante"
"(per favore) ...  LAVORARE","(... ) lavora"
"(adesso) io LEGGERE","(io) leggo"
"(adesso) tu LEGGERE","(tu) leggi"
"(adesso) lui LEGGERE","(lui) legge"
"(adesso) noi LEGGERE","(noi) leggiamo"
"(adesso) voi LEGGERE","(voi) leggete"
"(adesso) loro LEGGERE","(loro) leggono"
"(ieri) voi LEGGERE","(voi) leggevate"
"(molto tempo fa) io LEGGERE","(io) lessi"
"(molto tempo fa) noi LEGGERE","(noi) leggemmo"
"(domani) lui LEGGERE","(lui) leggerà"
"(perfetto) loro LEGGERE","(loro) hanno letto"
"(perchè ieri) voi LEGGERE","(voi) avevate letto"
"che io LEGGERE","(che io) legga"
"che noi LEGGERE","(che noi) leggiamo"
"(perfetto) che io LEGGERE","(che io) abbia letto"
"(perfetto) che tu LEGGERE","(che tu) abbia letto"
"se (presente) io LEGGERE","se (io) leggerei"
"se (presente) loro LEGGERE","se (loro) leggerebbero"
"se (passato) lui LEGGERE","se (lui) avrebbe letto"
"(...ndo) ...  LEGGERE","(... ) leggendo"
"(passato ...ndo) LEGGERE","(avendo) letto"
"(aggetivo) ...  LEGGERE","(... ) leggente"
"(per favore) ...  LEGGERE","(... ) leggi"
"(adesso) io MANGIARE","(io) mangio"
"(adesso) tu MANGIARE","(tu) mangi"
"(adesso) lui MANGIARE","(lui) mangia"
"(adesso) noi MANGIARE","(noi) mangiamo"
"(adesso) voi MANGIARE","(voi) mangiate"
"(adesso) loro MANGIARE","(loro) mangiano"
"(ieri) voi MANGIARE","(voi) mangiavate"
"(molto tempo fa) io MANGIARE","(io) mangiai"
"(molto tempo fa) voi MANGIARE","(voi) mangiaste"
"(domani) lei MANGIARE","(lei) mangerà"
"(perfetto) loro MANGIARE","(loro) hanno mangiato"
"(perchè ieri) io MANGIARE","(io) avevo mangiato"
"che io MANGIARE","(che io) mangi"
"che voi MANGIARE","(che voi) mangiate"
"(perfetto) che io MANGIARE","(che io) abbia mangiato"
"(perfetto) che lei MANGIARE","(che lei) abbia mangiato"
"se (presente) io MANGIARE","se (io) mangerei"
"se (presente) noi MANGIARE","se (noi) mangeremmo"
"se (passato) lui MANGIARE","se (lui) avrebbe mangiato"
"(...ndo) ...  MANGIARE","(... ) mangiando"
"(passato ...ndo) MANGIARE","(avendo) mangiato"
"(aggetivo) ...  MANGIARE","(... ) mangiante"
"(per favore) ...  MANGIARE","(... ) mangia"
"(adesso) io METTERE","(io) metto"
"(adesso) tu METTERE","(tu) metti"
"(adesso) lei METTERE","(lei) mette"
"(adesso) noi METTERE","(noi) mettiamo"
"(adesso) voi METTERE","(voi) mettete"
"(adesso) loro METTERE","(loro) mettono"
"(ieri) lui METTERE","(lui) metteva"
"(molto tempo fa) io METTERE","(io) misi"
"(molto tempo fa) voi METTERE","(voi) metteste"
"(domani) io METTERE","(io) metterò"
"(perfetto) voi METTERE","(voi) avete messo"
"(perchè ieri) io METTERE","(io) avevo messo"
"che io METTERE","(che io) metta"
"che lei METTERE","(che lei) metta"
"(perfetto) che io METTERE","(che io) abbia messo"
"(perfetto) che loro METTERE","(che loro) abbiano messo"
"se (presente) io METTERE","se (io) metterei"
"se (presente) loro METTERE","se (loro) metterebbero"
"se (passato) voi METTERE","se (voi) avreste messo"
"(...ndo) ...  METTERE","(... ) mettendo"
"(passato ...ndo) METTERE","(avendo) messo"
"(aggetivo) ...  METTERE","(... ) mettente"
"(per favore) ...  METTERE","(... ) metti"
"(adesso) io METTERSI","(io) mi metto"
"(adesso) tu METTERSI","(tu) ti metti"
"(adesso) lui METTERSI","(lui) si mette"
"(adesso) noi METTERSI","(noi) ci mettiamo"
"(adesso) voi METTERSI","(voi) vi mettete"
"(adesso) loro METTERSI","(loro) si mettono"
"(ieri) loro METTERSI","(loro) si mettevano"
"(molto tempo fa) io METTERSI","(io) mi misi"
"(molto tempo fa) voi METTERSI","(voi) vi metteste"
"(domani) loro METTERSI","(loro) si metteranno"
"(perfetto) lei METTERSI","(lei) si è messa"
"(perchè ieri) loro METTERSI","(loro) si erano messi"
"che io METTERSI","(che io) mi metta"
"che loro METTERSI","(che loro) si mettano"
"(perfetto) che io METTERSI","(che io) mi sia messo"
"(perfetto) che loro METTERSI","(che loro) si siano messi"
"se (presente) io METTERSI","se (io) mi metterei"
"se (presente) tu METTERSI","se (tu) ti metteresti"
"se (passato) loro METTERSI","se (loro) si sarebbero messe"
"(...ndo) ...  METTERSI","(... ) mettendosi"
"(passato ...ndo) METTERSI","(essendosi) messo"
"(aggetivo) ...  METTERSI","(... ) mettentesi"
"(per favore) ...  METTERSI","(... ) mettiti"
"(adesso) io MORIRE","(io) muoio"
"(adesso) tu MORIRE","(tu) muori"
"(adesso) lei MORIRE","(lei) muore"
"(adesso) noi MORIRE","(noi) moriamo"
"(adesso) voi MORIRE","(voi) morite"
"(adesso) loro MORIRE","(loro) muoiono"
"(ieri) voi MORIRE","(voi) morivate"
"(molto tempo fa) io MORIRE","(io) morii"
"(molto tempo fa) lei MORIRE","(lei) morì"
"(domani) loro MORIRE","(loro) moriranno"
"(perfetto) io MORIRE","(io) sono morto"
"(perchè ieri) loro MORIRE","(loro) erano morte"
"che io MORIRE","(che io) muoia"
"che tu MORIRE","(che tu) muoia"
"(perfetto) che io MORIRE","(che io) sia morto"
"(perfetto) che loro MORIRE","(che loro) siano morti"
"se (presente) io MORIRE","se (io) morirei"
"se (presente) voi MORIRE","se (voi) morireste"
"se (passato) noi MORIRE","se (noi) saremmo morti"
"(...ndo) ...  MORIRE","(... ) morendo"
"(passato ...ndo) MORIRE","(essendo) morto"
"(aggetivo) ...  MORIRE","(... ) morente"
"(per favore) ...  MORIRE","(... ) muori"
"(adesso) io NASCERE","(io) nasco"
"(adesso) tu NASCERE","(tu) nasci"
"(adesso) lui NASCERE","(lui) nasce"
"(adesso) noi NASCERE","(noi) nasciamo"
"(adesso) voi NASCERE","(voi) nascete"
"(adesso) loro NASCERE","(loro) nascono"
"(ieri) voi NASCERE","(voi) nascevate"
"(molto tempo fa) io NASCERE","(io) nacqui"
"(molto tempo fa) tu NASCERE","(tu) nascesti"
"(domani) lei NASCERE","(lei) nascerà"
"(perfetto) io NASCERE","(io) sono nato"
"(perchè ieri) noi NASCERE","(noi) eravamo nati"
"che io NASCERE","(che io) nasca"
"che tu NASCERE","(che tu) nasca"
"(perfetto) che io NASCERE","(che io) sia nato"
"(perfetto) che tu NASCERE","(che tu) sia nato"
"se (presente) io NASCERE","se (io) nascerei"
"se (presente) loro NASCERE","se (loro) nascerebbero"
"se (passato) noi NASCERE","se (noi) saremmo nati"
"(...ndo) ...  NASCERE","(... ) nascendo"
"(passato ...ndo) NASCERE","(essendo) nata"
"(aggetivo) ...  NASCERE","(... ) nascente"
"(per favore) ...  NASCERE","(... ) nasci"
"(adesso) io OFFRIRE","(io) offro"
"(adesso) tu OFFRIRE","(tu) offri"
"(adesso) lui OFFRIRE","(lui) offre"
"(adesso) noi OFFRIRE","(noi) offriamo"
"(adesso) voi OFFRIRE","(voi) offrite"
"(adesso) loro OFFRIRE","(loro) offrono"
"(ieri) io OFFRIRE","(io) offrivo"
"(molto tempo fa) io OFFRIRE","(io) offrii/ersi"
"(molto tempo fa) noi OFFRIRE","(noi) offrimmo"
"(domani) voi OFFRIRE","(voi) offrirete"
"(perfetto) tu OFFRIRE","(tu) hai offerto"
"(perchè ieri) tu OFFRIRE","(tu) avevi offerto"
"che io OFFRIRE","(che io) offra"
"che loro OFFRIRE","(che loro) offrano"
"(perfetto) che io OFFRIRE","(che io) abbia offerto"
"(perfetto) che loro OFFRIRE","(che loro) abbiano offerto"
"se (presente) io OFFRIRE","se (io) offrirei"
"se (presente) noi OFFRIRE","se (noi) offriremmo"
"se (passato) io OFFRIRE","se (io) avrei offerto"
"(...ndo) ...  OFFRIRE","(... ) offrendo"
"(passato ...ndo) OFFRIRE","(avendo) offerto"
"(aggetivo) ...  OFFRIRE","(... ) offrente"
"(per favore) ...  OFFRIRE","(... ) offri"
"(adesso) io PAGARE","(io) pago"
"(adesso) tu PAGARE","(tu) paghi"
"(adesso) lui PAGARE","(lui) paga"
"(adesso) noi PAGARE","(noi) paghiamo"
"(adesso) voi PAGARE","(voi) pagate"
"(adesso) loro PAGARE","(loro) pagano"
"(ieri) io PAGARE","(io) pagavo"
"(molto tempo fa) io PAGARE","(io) pagai"
"(molto tempo fa) tu PAGARE","(tu) pagasti"
"(domani) io PAGARE","(io) pagherò"
"(perfetto) loro PAGARE","(loro) hanno pagato"
"(perchè ieri) voi PAGARE","(voi) avevate pagato"
"che io PAGARE","(che io) paghi"
"che lei PAGARE","(che lei) paghi"
"(perfetto) che io PAGARE","(che io) abbia pagato"
"(perfetto) che lei PAGARE","(che lei) abbia pagato"
"se (presente) io PAGARE","se (io) pagherei"
"se (presente) noi PAGARE","se (noi) pagheremmo"
"se (passato) lei PAGARE","se (lei) avrebbe pagato"
"(...ndo) ...  PAGARE","(... ) pagando"
"(passato ...ndo) PAGARE","(avendo) pagato"
"(aggetivo) ...  PAGARE","(... ) pagante"
"(per favore) ...  PAGARE","(... ) paga"
"(adesso) io PARLARE","(io) parlo"
"(adesso) tu PARLARE","(tu) parli"
"(adesso) lui PARLARE","(lui) parla"
"(adesso) noi PARLARE","(noi) parliamo"
"(adesso) voi PARLARE","(voi) parlate"
"(adesso) loro PARLARE","(loro) parlano"
"(ieri) noi PARLARE","(noi) parlavamo"
"(molto tempo fa) io PARLARE","(io) parlai"
"(molto tempo fa) voi PARLARE","(voi) parlaste"
"(domani) noi PARLARE","(noi) parleremo"
"(perfetto) io PARLARE","(io) ho parlato"
"(perchè ieri) voi PARLARE","(voi) avevate parlato"
"che io PARLARE","(che io) parli"
"che tu PARLARE","(che tu) parli"
"(perfetto) che io PARLARE","(che io) abbia parlato"
"(perfetto) che noi PARLARE","(che noi) abbiamo parlato"
"se (presente) io PARLARE","se (io) parlerei"
"se (presente) loro PARLARE","se (loro) parlerebbero"
"se (passato) lei PARLARE","se (lei) avrebbe parlato"
"(...ndo) ...  PARLARE","(... ) parlando"
"(passato ...ndo) PARLARE","(avendo) parlato"
"(aggetivo) ...  PARLARE","(... ) parlante"
"(per favore) ...  PARLARE","(... ) parla"
"(adesso) io PARTIRE","(io) parto"
"(adesso) tu PARTIRE","(tu) parti"
"(adesso) lui PARTIRE","(lui) parte"
"(adesso) noi PARTIRE","(noi) partiamo"
"(adesso) voi PARTIRE","(voi) partite"
"(adesso) loro PARTIRE","(loro) partono"
"(ieri) io PARTIRE","(io) partivo"
"(molto tempo fa) io PARTIRE","(io) partii"
"(molto tempo fa) voi PARTIRE","(voi) partiste"
"(domani) io PARTIRE","(io) partirò"
"(perfetto) loro PARTIRE","(loro) sono partite"
"(perchè ieri) loro PARTIRE","(loro) erano partite"
"che io PARTIRE","(che io) parta"
"che lei PARTIRE","(che lei) parta"
"(perfetto) che io PARTIRE","(che io) sia partito"
"(perfetto) che loro PARTIRE","(che loro) siano partite"
"se (presente) io PARTIRE","se (io) partirei"
"se (presente) lei PARTIRE","se (lei) partirebbe"
"se (passato) noi PARTIRE","se (noi) saremmo partiti"
"(...ndo) ...  PARTIRE","(... ) partendo"
"(passato ...ndo) PARTIRE","(essendo) partiti"
"(aggetivo) ...  PARTIRE","(... ) partente"
"(per favore) ...  PARTIRE","(... ) parti"
"(adesso) io PASSARE","(io) passo"
"(adesso) tu PASSARE","(tu) passi"
"(adesso) lui PASSARE","(lui) passa"
"(adesso) noi PASSARE","(noi) passiamo"
"(adesso) voi PASSARE","(voi) passate"
"(adesso) loro PASSARE","(loro) passano"
"(ieri) voi PASSARE","(voi) passavate"
"(molto tempo fa) io PASSARE","(io) passai"
"(molto tempo fa) voi PASSARE","(voi) passaste"
"(domani) noi PASSARE","(noi) passeremo"
"(perfetto) noi PASSARE","(noi) abbiamo passato"
"(perchè ieri) loro PASSARE","(loro) avevano passato"
"che io PASSARE","(che io) passi"
"lui PASSARE","(lui) passi"
"(perfetto) che io PASSARE","(che io) abbia passato"
"(perfetto) che loro PASSARE","(che loro) abbiano passato"
"se (presente) io PASSARE","se (io) passerei"
"se (presente) loro PASSARE","se (loro) passerebbero"
"se (passato) loro PASSARE","se (loro) sarebbero passate"
"(...ndo) ...  PASSARE","(... ) passando"
"(passato ...ndo) PASSARE","(avendo) passato"
"(aggetivo) ...  PASSARE","(... ) passante"
"(per favore) ...  PASSARE","(... ) passa"
"(adesso) io PENSARE","(io) penso"
"(adesso) tu PENSARE","(tu) pensi"
"(adesso) lei PENSARE","(lei) pensa"
"(adesso) noi PENSARE","(noi) pensiamo"
"(adesso) voi PENSARE","(voi) pensate"
"(adesso) loro PENSARE","(loro) pensano"
"(ieri) loro PENSARE","(loro) pensavano"
"(molto tempo fa) io PENSARE","(io) pensai"
"(molto tempo fa) tu PENSARE","(tu) pensasti"
"(domani) io PENSARE","(io) penserò"
"(perfetto) io PENSARE","(io) ho pensato"
"(perchè ieri) lei PENSARE","(lei) aveva pensato"
"che io PENSARE","(che io) pensi"
"che loro PENSARE","(che loro) pensino"
"(perfetto) che io PENSARE","(che io) abbia pensato"
"(perfetto) lui PENSARE","(lui) abbia pensato"
"se (presente) io PENSARE","se (io) penserei"
"se (presente) noi PENSARE","se (noi) penseremmo"
"se (passato) loro PENSARE","se (loro) avrebbero pensato"
"(...ndo) ...  PENSARE","(... ) pensando"
"(passato ...ndo) PENSARE","(avendo) pensato"
"(aggetivo) ...  PENSARE","(... ) pensante"
"(per favore) ...  PENSARE","(... ) pensa"
"(adesso) io PERDERE","(io) perdo"
"(adesso) tu PERDERE","(tu) perdi"
"(adesso) lei PERDERE","(lei) perde"
"(adesso) noi PERDERE","(noi) perdiamo"
"(adesso) voi PERDERE","(voi) perdete"
"(adesso) loro PERDERE","(loro) perdono"
"(ieri) io PERDERE","(io) perdevo"
"(molto tempo fa) io PERDERE","(io) persi"
"(molto tempo fa) lui PERDERE","(lui) perse"
"(domani) noi PERDERE","(noi) perderemo"
"(perfetto) io PERDERE","(io) ho perso"
"(perchè ieri) lui PERDERE","(lui) aveva perso"
"che io PERDERE","(che io) perda"
"che tu PERDERE","(che tu) perda"
"(perfetto) che io PERDERE","(che io) abbia perso"
"(perfetto) che tu PERDERE","(che tu) abbia perso"
"se (presente) io PERDERE","se (io) perderei"
"se (presente) voi PERDERE","se (voi) perdereste"
"se (passato) tu PERDERE","se (tu) avresti perso"
"(...ndo) ...  PERDERE","(... ) perdendo"
"(passato ...ndo) PERDERE","(avendo) perso"
"(aggetivo) ...  PERDERE","(... ) perdente"
"(per favore) ...  PERDERE","(... ) perdi"
"(adesso) io PERDERSI","(io) mi perdo"
"(adesso) tu PERDERSI","(tu) ti perdi"
"(adesso) lei PERDERSI","(lei) si perde"
"(adesso) noi PERDERSI","(noi) ci perdiamo"
"(adesso) voi PERDERSI","(voi) vi perdete"
"(adesso) loro PERDERSI","(loro) si perdono"
"(ieri) loro PERDERSI","(loro) si perdevano"
"(molto tempo fa) io PERDERSI","(io) mi persi"
"(molto tempo fa) loro PERDERSI","(loro) si persero"
"(domani) tu PERDERSI","(tu) ti perderai"
"(perfetto) loro PERDERSI","(loro) si sono persi"
"(perchè ieri) io PERDERSI","(io) mi ero perso"
"che io PERDERSI","(che io) mi perda"
"che noi PERDERSI","(che noi) ci perdiamo"
"(perfetto) che io PERDERSI","(che io) mi sia perso"
"(perfetto) che lei PERDERSI","(che lei) si sia persa"
"se (presente) io PERDERSI","se (io) mi perderei"
"se (presente) loro PERDERSI","se (loro) si perderebbero"
"se (passato) lei PERDERSI","se (lei) si sarebbe persa"
"(...ndo) ...  PERDERSI","(... ) perdendosi"
"(passato ...ndo) PERDERSI","(essendosi) perso"
"(aggetivo) ...  PERDERSI","(... ) perdentesi"
"(per favore) ...  PERDERSI","(... ) perditi"
"(adesso) io PETTINARSI","(io) mi pettino"
"(adesso) tu PETTINARSI","(tu) ti pettini"
"(adesso) lui PETTINARSI","(lui) si pettina"
"(adesso) noi PETTINARSI","(noi) ci pettiniamo"
"(adesso) voi PETTINARSI","(voi) vi pettinate"
"(adesso) loro PETTINARSI","(loro) si pettinano"
"(ieri) lui PETTINARSI","(lui) si pettinava"
"(molto tempo fa) io PETTINARSI","(io) mi pettinai"
"(molto tempo fa) loro PETTINARSI","(loro) si pettinarono"
"(domani) lei PETTINARSI","(lei) si pettinerà"
"(perfetto) noi PETTINARSI","(noi) ci siamo pettinati"
"(perchè ieri) tu PETTINARSI","(tu) ti eri pettinato"
"che io PETTINARSI","(che io) mi pettini"
"che tu PETTINARSI","(che tu) ti pettini"
"(perfetto) che io PETTINARSI","(che io) mi sia pettinato"
"(perfetto) che tu PETTINARSI","(che tu) ti sia pettinato"
"se (presente) io PETTINARSI","se (io) mi pettinerei"
"se (presente) lei PETTINARSI","se (lei) si pettinerebbe"
"se (passato) io PETTINARSI","se (io) mi sarei pettinato"
"(...ndo) ...  PETTINARSI","(... ) pettinandosi"
"(passato ...ndo) PETTINARSI","(essendosi) pettinato"
"(aggetivo) ...  PETTINARSI","(... ) pettinantesi"
"(per favore) ...  PETTINARSI","(... ) pettinati"
"(adesso) io PIACERE","(io) piaccio"
"(adesso) tu PIACERE","(tu) piaci"
"(adesso) lei PIACERE","(lei) piace"
"(adesso) noi PIACERE","(noi) piacciamo"
"(adesso) voi PIACERE","(voi) piacete"
"(adesso) loro PIACERE","(loro) piacciono"
"(ieri) noi PIACERE","(noi) piacevamo"
"(molto tempo fa) io PIACERE","(io) piacqui"
"(molto tempo fa) loro PIACERE","(loro) piacquero"
"(domani) tu PIACERE","(tu) piacerai"
"(perfetto) voi PIACERE","(voi) siete piaciuti"
"(perchè ieri) voi PIACERE","(voi) eravate piaciuti"
"che io PIACERE","(che io) piaccia"
"che lei PIACERE","(che lei) piaccia"
"(perfetto) che io PIACERE","(che io) sia piaciuto"
"(perfetto) che tu PIACERE","(che tu) sia piaciuto"
"se (presente) io PIACERE","se (io) piacerei"
"se (presente) noi PIACERE","se (noi) piaceremmo"
"se (passato) io PIACERE","se (io) sarei piaciuto"
"(...ndo) ...  PIACERE","(... ) piacendo"
"(passato ...ndo) PIACERE","(essendo) piaciuto"
"(aggetivo) ...  PIACERE","(... ) piacente"
"(per favore) ...  PIACERE","(... ) piaci"
"(adesso) io PORRE","(io) pongo"
"(adesso) tu PORRE","(tu) poni"
"(adesso) lei PORRE","(lei) pone"
"(adesso) noi PORRE","(noi) poniamo"
"(adesso) voi PORRE","(voi) ponete"
"(adesso) loro PORRE","(loro) pongono"
"(ieri) noi PORRE","(noi) ponevamo"
"(molto tempo fa) io PORRE","(io) posi"
"(molto tempo fa) tu PORRE","(tu) ponesti"
"(domani) lui PORRE","(lui) porrà"
"(perfetto) loro PORRE","(loro) hanno posto"
"(perchè ieri) lui PORRE","(lui) aveva posto"
"che io PORRE","(che io) ponga"
"che loro PORRE","(che loro) pongano"
"(perfetto) che io PORRE","(che io) abbia posto"
"(perfetto) che loro PORRE","(che loro) abbiano posto"
"se (presente) io PORRE","se (io) porrei"
"se (presente) voi PORRE","se (voi) porreste"
"se (passato) lui PORRE","se (lui) avrebbe posto"
"(...ndo) ...  PORRE","(... ) ponendo"
"(passato ...ndo) PORRE","(avendo) posto"
"(aggetivo) ...  PORRE","(... ) ponente"
"(per favore) ...  PORRE","(... ) poni"
"(adesso) io PORTARE","(io) porto"
"(adesso) tu PORTARE","(tu) porti"
"(adesso) lei PORTARE","(lei) porta"
"(adesso) noi PORTARE","(noi) portiamo"
"(adesso) voi PORTARE","(voi) portate"
"(adesso) loro PORTARE","(loro) portano"
"(ieri) loro PORTARE","(loro) portavano"
"(molto tempo fa) io PORTARE","(io) portai"
"(molto tempo fa) tu PORTARE","(tu) portasti"
"(domani) tu PORTARE","(tu) porterai"
"(perfetto) noi PORTARE","(noi) abbiamo portato"
"(perchè ieri) lei PORTARE","(lei) aveva portato"
